,ГОСТ,"Цена, р./пог.м","Цена, р./кг",Размер,"Цена, р./шт.","Цена, р./т",Доп. размер,Наименование,Сталь,"Цена, р./м2",Компания,Город
0, ГОСТ 5781-82 ,,, 6,,51 000 ,6,Арматура А1  ,3пс/сп,,Новосталь-Маркет,Москва
1, ГОСТ 5781-82 ,,, 22,,60 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
2, ГОСТ 5781-82 ,,, 20,,60 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
3, ГОСТ 5781-82 ,,, 18,,60 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
4, ГОСТ 5781-82 ,,, 16,,60 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
5, ГОСТ 5781-82 ,,, 14,,60 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
6, ГОСТ 5781-82 ,,, 12,,61 900 >10т,бухты,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
7, ГОСТ 5781-82 ,,, 25,,60 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
8, ГОСТ 5781-82 ,,, 12,,63 900 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
9, ГОСТ 5781-82 ,,, 10,,65 300 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
10, ГОСТ 5781-82 ,,, 8,,61 900 >10т,бухты,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
11, ГОСТ 5781-82 ,,, 8,,63 900 >10т,6,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
12, ГОСТ 5781-82 ,,, 6,,63 600 >10т,бухты,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
13, ГОСТ 5781-82 ,,, 6,,65 600 >10т,6,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
14, ГОСТ 34028-2016 ,,, 6,,50 740 >10т,бухты,Арматура А1  ,А240,,Сталепромышленная компания,Ижевск
15, ГОСТ 5781-82 ,,, 10,,63 300 >10т,бухты,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Владивосток
16, ГОСТ 34028-2016 ,,, 28,,56 000 >10т,12,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
17, ГОСТ 5781-82 ,,, 25,,56 000 >10т,12,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Барнаул
18, ГОСТ 34028-2016 ,,, 25,,56 000 >10т,12,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
19, ГОСТ 34028-2016 ,,, 6,,52 300 >10т,6,Арматура А1  ,А240,,Сталепромышленная компания,Волгоград
20, ГОСТ 34028-2016 ,,, 6,,61 500 >10т,6,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
21, ГОСТ 34028-2016 ,,, 6,,56 000 >10т,бухты,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
22, ГОСТ 34028-2016 ,,, 8,,60 000 >10т,6,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
23, ГОСТ 34028-2016 ,,, 8,,55 500 >10т,бухты,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
24, ГОСТ 34028-2016 ,,, 10,,59 000 >10т,6,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
25, ГОСТ 34028-2016 ,,, 10,,59 000 >10т,12,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
26, ГОСТ 34028-2016 ,,, 10,,55 500 >10т,бухты,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
27, ГОСТ 34028-2016 ,,, 12,,56 500 >10т,12,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
28, ГОСТ 34028-2016 ,,, 14,,56 000 >10т,12,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
29, ГОСТ 34028-2016 ,,, 14,,56 000 >10т,6,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
30, ГОСТ 34028-2016 ,,, 16,,56 000 >10т,12,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
31, ГОСТ 34028-2016 ,,, 18,,56 000 >10т,12,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
32, ГОСТ 34028-2016 ,,, 20,,56 000 >10т,12,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
33, ГОСТ 34028-2016 ,,, 22,,56 000 >10т,12,Арматура А1  ,А240,,Сталепромышленная компания,Барнаул
34, ГОСТ 34028-2016 ,,, 6,,54 000 >10т,6,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
35, ГОСТ 34028-2016 ,,, 6,,53 000 >10т,бухты,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
36, ГОСТ 34028-2016 ,,, 8,,50 000 >10т,6,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
37, ГОСТ 34028-2016 ,,, 10,,51 000 >10т,11.7,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
38, ГОСТ 5781-82 ,,, 14,,62 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
39, ГОСТ 5781-82 ,,, 16,,62 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
40, ГОСТ 5781-82 ,,, 18,,62 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
41, ГОСТ 5781-82 ,,, 20,,62 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
42, ГОСТ 5781-82 ,,, 22,,62 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
43, ГОСТ 5781-82 ,,, 25,,62 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
44, ГОСТ 5781-82 ,,, 25,,62 500 >10т,н/д,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
45, ГОСТ 5781-82 ,,, 28,,62 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
46, ГОСТ 5781-82 ,,, 32,,62 500 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
47, ГОСТ 5781-82 ,,, 36,,звоните ,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Курган
48, ГОСТ 5781-82 ,,, 32,,звоните ,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Курган
49, ГОСТ 34028-2016 ,,, 28,,звоните ,11.7,Арматура А1  ,А240,,Сталепромышленная компания,Курган
50, ГОСТ 5781-82 ,,, 28,,звоните ,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Курган
51, ГОСТ 34028-2016 ,,, 25,,звоните ,11.7,Арматура А1  ,А240,,Сталепромышленная компания,Курган
52, ГОСТ 5781-82 ,,, 25,,звоните ,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Курган
53, ГОСТ 5781-82 ,,, 12,,63 800 >10т,бухты,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
54, ГОСТ 34028-2016 ,,, 6,,52 300 >10т,бухты,Арматура А1  ,А240,,Сталепромышленная компания,Волгоград
55, ГОСТ 5781-82 ,,, 12,,65 800 >10т,6,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
56, ГОСТ 5781-82 ,,, 10,,65 200 >10т,бухты,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
57, ГОСТ 34028-2016 ,,, 10,,51 000 >10т,6,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
58, ГОСТ 34028-2016 ,,, 10,,50 000 >10т,бухты,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
59, ГОСТ 34028-2016 ,,, 12,,52 500 >10т,6,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
60, ГОСТ 34028-2016 ,,, 12,,52 500 >10т,бухты,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
61, ГОСТ 34028-2016 ,,, 14,,53 000 >10т,11.7,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
62, ГОСТ 34028-2016 ,,, 16,,53 000 >10т,11.7,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
63, ГОСТ 34028-2016 ,,, 20,,53 000 >10т,11.7,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
64, ГОСТ 34028-2016 ,,, 22,,53 000 >10т,11.7,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
65, ГОСТ 34028-2016 ,,, 25,,53 000 >10т,11.7,Арматура А1  ,А240,,Сталепромышленная компания,Белгород
66, ГОСТ 5781-82 ,,, 6,,67 500 >10т,6,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
67, ГОСТ 5781-82 ,,, 6,,65 500 >10т,бухты,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
68, ГОСТ 5781-82 ,,, 8,,65 800 >10т,6,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
69, ГОСТ 5781-82 ,,, 8,,63 800 >10т,бухты,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
70, ГОСТ 5781-82 ,,, 10,,67 200 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
71, ГОСТ 5781-82 ,,, 10,,67 200 >10т,6,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
72, ГОСТ 5781-82 ,,, 12,,65 800 >10т,11.7,Арматура А1  ,3пс/сп,,Сталепромышленная компания,Благовещенск
73, ГОСТ 34028-2016 ,,, 22,,звоните ,11.7,Арматура А1  ,А240,,Сталепромышленная компания,Курган
74, ГОСТ 34028-2016 ,,, 6.5,,51 500 >10т,6,Арматура А1  ,А240,,Сталепромышленная компания,Волгоград
75, ГОСТ 34028-2016 ,,, 8,,50 800 >10т,12,Арматура А1  ,А240,,Сталепромышленная компания,Волгоград
76, ,,, 18,,45 300 ,12,Арматура А1  ,ст3,,Омега Металл,Москва
77, ,,, 20,,45 500 ,11.7,Арматура А1  ,ст3,,Омега Металл,Москва
78, ,,, 22,,45 500 ,11.7,Арматура А1  ,ст3,,Омега Металл,Москва
79, ,,, 22,,45 500 ,12,Арматура А1  ,ст3,,Омега Металл,Москва
80, ,,, 22,,41 300 ,6-11.7,Арматура А1  ,ст3,,Омега Металл,Москва
81, ,,, 25,,45 500 ,11.7,Арматура А1  ,ст3,,Омега Металл,Москва
82, ,,, 18,,45 500 ,11.7,Арматура А1  ,ст3,,Омега Металл,Москва
