,Наименование,Размер,ГОСТ,Компания,Город,Тип_продукции,Размер_A,Размер_B,Типоразмер,Марка,Минимальная_длина,Максимальная_длина,Упаковка,Примечание_для_цены,Тип_материала,Основная_марка,Свариваемость,Тип_стандарта,Номер_стандарта,Год_стандарта,Категория_цены,Звоните,Цена,Условие_цены
0,Труба ВГП,15х2.5,ГОСТ 3262-75,Новосталь-Маркет,Москва,Габарит,15.0,2.5,,,,,,,Сталь,1,0,ГОСТ,3262,0,р./т,False,60690.0,
1,Труба ВГП,50х3.5,ГОСТ 3262-75,Сталепромышленная компания,Краснодар,Габарит,50.0,3.5,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,61500.0,>10т
2,Труба ВГП,40х3.5,ГОСТ 3262-75,Сталепромышленная компания,Краснодар,Габарит,40.0,3.5,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,63500.0,>10т
3,Труба ВГП,40х3,ГОСТ 3262-75,Сталепромышленная компания,Краснодар,Профиль ГОСТ/СТО,,,40.0,Х3,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,63500.0,>10т
4,Труба ВГП,32х3.2,ГОСТ 3262-75,Сталепромышленная компания,Краснодар,Габарит,32.0,3.2,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,63500.0,>10т
5,Труба ВГП,32х2.8,ГОСТ 3262-75,Сталепромышленная компания,Краснодар,Габарит,32.0,2.8,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,63500.0,>10т
6,Труба ВГП,25х3.2,ГОСТ 3262-75,Сталепромышленная компания,Краснодар,Габарит,25.0,3.2,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,64000.0,>10т
7,Труба ВГП,25х2.8,ГОСТ 3262-75,Сталепромышленная компания,Краснодар,Габарит,25.0,2.8,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,64000.0,>10т
8,Труба ВГП,20х2.8,ГОСТ 3262-75,Сталепромышленная компания,Краснодар,Габарит,20.0,2.8,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,64000.0,>10т
9,Труба ВГП,20х2.5,ГОСТ 3262-75,Сталепромышленная компания,Краснодар,Габарит,20.0,2.5,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,64500.0,>10т
10,Труба ВГП,15х2.8,ГОСТ 3262-75,Сталепромышленная компания,Краснодар,Габарит,15.0,2.8,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,65000.0,>10т
11,Труба ВГП,15х2.5,ГОСТ 3262-75,Сталепромышленная компания,Краснодар,Габарит,15.0,2.5,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,61000.0,>10т
12,Труба ВГП,50х3.5,ГОСТ 3262-75,Сталепромышленная компания,Благовещенск,Габарит,50.0,3.5,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,82000.0,>10т
13,Труба ВГП,40х3.5,ГОСТ 3262-75,Сталепромышленная компания,Благовещенск,Габарит,40.0,3.5,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,82000.0,>10т
14,Труба ВГП,32х3.2,ГОСТ 3262-75,Сталепромышленная компания,Благовещенск,Габарит,32.0,3.2,,,,,,,Не указан,не указан,0,ГОСТ,3262,0,р./т,False,82000.0,>10т
