,ГОСТ,Размер,Наименование,Компания,Город,Тип_продукции,Размер_A,Типоразмер,Марка,Примечание_для_размера,Размер_B,Толщина,Диапазон_min,Диапазон_max,Размер_C,Минимальная_длина,Максимальная_длина,Упаковка,Примечание_для_цены,Тип_материала,Основная_марка,Свариваемость,Тип_стандарта,Номер_стандарта,Год_стандарта,Категория_цены,Звоните,Цена,Условие_цены
0,ГОСТ 5781-82,6,Арматура А1,Новосталь-Маркет,Москва,Число,6.0,,,,,,,,,6.0,6.0,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,51000.0,
1,ГОСТ 5781-82,22,Арматура А1,Сталепромышленная компания,Владивосток,Число,22.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,60500.0,>10т
2,ГОСТ 5781-82,20,Арматура А1,Сталепромышленная компания,Владивосток,Число,20.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,60500.0,>10т
3,ГОСТ 5781-82,18,Арматура А1,Сталепромышленная компания,Владивосток,Число,18.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,60500.0,>10т
4,ГОСТ 5781-82,16,Арматура А1,Сталепромышленная компания,Владивосток,Число,16.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,60500.0,>10т
5,ГОСТ 5781-82,14,Арматура А1,Сталепромышленная компания,Владивосток,Число,14.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,60500.0,>10т
6,ГОСТ 5781-82,12,Арматура А1,Сталепромышленная компания,Владивосток,Число,12.0,,,,,,,,,,,бухты,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,61900.0,>10т
7,ГОСТ 5781-82,25,Арматура А1,Сталепромышленная компания,Владивосток,Число,25.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,60500.0,>10т
8,ГОСТ 5781-82,12,Арматура А1,Сталепромышленная компания,Владивосток,Число,12.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,63900.0,>10т
9,ГОСТ 5781-82,10,Арматура А1,Сталепромышленная компания,Владивосток,Число,10.0,,,,,,,,,11.7,11.7,,,Сталь,3пс,0,ГОСТ,5781,0,р./т,False,65300.0,>10т
